T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-EW-A1P4-01	2.35217077135314	3.62363329113382	2.45899239824673	1.86625948672159	1.27211483585197	3.67926427976559	3.89674186150394	2.22966947169633	2.58236419573034	7.43027360136729	High
TCGA-EW-A1P8-01	1.93707153325902	1.76842668801495	0.97508267293545	1.00717652568916	0.171544882572539	4.86049895946116	2.96575921727773	1.67171021737869	2.69786705883725	6.87899944407082	High
TCGA-EW-A1PB-01	3.05578231391265	3.8694098378991	2.34398509528556	0.618159893441127	0.836895247791809	5.31439280066684	3.07147155742716	1.98307287577158	2.02566119373371	5.93087858236908	High
TCGA-EW-A1PH-01	1.94019047649638	3.4543331176904	1.60992757217377	1.96465514340334	0.731780621583003	3.29912305883136	1.91188195556944	1.52397604133057	2.78300849616858	6.18697918422191	Low
TCGA-EW-A3U0-01	3.80913204414931	4.44153684415613	2.55631367778957	4.0696708263907	1.17284542164796	4.86649658581734	3.56158939140813	1.85940666930801	3.55397050333381	7.47906780408274	Low
TCGA-EW-A6SB-01	2.79937658455196	2.17166651465869	1.75679976579166	2.88107264874256	0.580392180813008	3.6125370019475	3.08201088351079	1.03636531564722	1.41466993825054	4.75120346224908	Low
TCGA-GI-A2C9-01	1.6036279557942	2.15530293911515	1.0339276766732	0.410957030858297	0.234618845224055	3.98178899483204	3.87155766251561	1.68588970996033	2.39737678202328	7.70998923563406	Low
TCGA-GM-A2DB-01	1.84435605464965	1.82625297203729	1.20855211973898	3.50195173850312	0.296264233711654	2.78559319894148	1.58065754250294	1.36750624288138	2.11214049218349	5.68504924366728	Low
TCGA-GM-A2DF-01	2.02939228499958	5.89462434104012	1.21732105639843	2.56232776113877	0.229915807085754	3.54274218722818	3.13224898404583	1.6263996941085	2.72109412101403	6.28894054036831	Low
TCGA-GM-A2DH-01	3.64468776522969	4.25074842328966	2.55572285818917	3.26845664313727	0.876975553361994	4.37946728930699	3.55409876812371	1.77297377805094	2.94489616547047	6.97264152993353	High
TCGA-HN-A2NL-01	2.42670391866615	3.42676237590877	1.56573283660106	1.94080357734979	0.264335837070007	3.15908787329432	2.35826806395976	1.31664891491468	2.37139633080028	5.70854060888271	Low
TCGA-LL-A441-01	3.99986060287947	3.75040973171542	2.31780707416354	6.42212957977451	0.544570655849129	3.8026318387365	3.88649217117156	1.75956878903662	3.40115842546206	7.57270925277648	Low
TCGA-LL-A5YO-01	4.00159890902831	5.14241924415817	2.55997298479496	4.64053414744356	0.82686987283555	4.83468443168149	4.00638255482638	1.58225647582799	2.59763703477072	7.12911295099873	High
TCGA-LL-A73Y-01	2.98149354284925	3.25946070276576	1.81333222937761	2.89270407449228	0.384913269276991	3.42905929888444	3.87470559559433	1.74048324144078	4.02160422554347	8.0161320277709	High
TCGA-OL-A6VO-01	1.88159782625423	1.72114456542229	1.23449489496244	1.14378272046617	0.220632882719887	3.52019908698904	1.82919979758461	1.45173827845122	2.66247853020492	6.1730870759269	Low
TCGA-S3-AA10-01	3.45155156837797	3.87116329429528	2.96659625649852	2.97636080240949	0.95168558857162	4.69665569908815	2.81512039472531	1.65472974357887	2.9153601386889	6.83125576040956	High
TCGA-S3-AA15-01	2.52909624855669	3.20099521805197	1.77946455567026	4.5456525074764	0.643599095119416	3.8903531457603	2.17576728033786	1.81652031607474	3.39674054225122	7.71410912125932	Low
